testdata	 Median Oxygen abundance (12+log(O/H))	 16th percentile	 84th percentile
KD02comb_updated	 8.840000	 0.048000	 0.031000
KD02_NIIOII	 8.840000	 0.048000	 0.031000
KD02_NIIHa	 8.815000	 0.082000	 0.045000
KD02_R23_updated	 8.634000	 0.078000	 0.046000
M91	 8.765000	 0.089000	 0.051000
Z94	 8.928000	 0.049000	 0.039000
PP04_N2	 8.781000	 0.005000	 0.003000
PP04_O3N2	 8.667000	 0.007000	 0.005000
Pi01_Z	 8.596000	 0.001000	 0.002000
D02	 8.093000	 0.137000	 0.084000
E(B-V)	 0.701000	 0.108000	 0.159000
